Temperature [_ C] ,Humidity [%],Soil moisture,Reference evapotranspiration,Evapotranspiration,Crop Coefficient,Crop Coefficient stage,Nitrogen [mg/kg],Phosphorus [mg/kg],Potassium,Solar Radiation ghi,Wind Speed,Days of planted,pH
31.2,93.6,567,563.0000865,236.4600363,0.42,Initial Stage,107,38,53,622,2.09,1,3.32
31.2,93.6,567,561.1765782,235.6941629,0.42,Initial Stage,107,38,53,622,2.09,1,3.77
30.5,74.6,307,561.2671696,235.7322112,0.42,Initial Stage,107,38,53,622,2.09,3,2.9
30.4,76.6,308,559.4477782,234.9680669,0.42,Initial Stage,107,38,53,622,2.09,3,7.71
30.4,76.6,308,559.4477782,234.9680669,0.42,Initial Stage,107,38,53,622,2.09,3,5.11
30.3,77.1,307,558.9842386,234.7733802,0.42,Initial Stage,107,38,53,622,2.09,3,4.48
30.3,76.5,307,559.5170765,234.9971721,0.42,Initial Stage,107,38,53,622,2.09,3,4.32
30.3,78.1,307,558.1007617,234.4023199,0.42,Initial Stage,107,38,53,622,2.09,3,3.77
30.3,78.8,307,557.4856889,234.1439893,0.42,Initial Stage,107,38,53,622,2.09,3,3.68
30.3,78.8,307,557.4856889,234.1439893,0.42,Initial Stage,107,38,53,622,2.09,3,3.67
30.2,77.5,308,558.6120798,234.6170735,0.42,Initial Stage,107,38,53,622,2.09,3,3.95
30.2,77.6,307,558.523956,234.5800615,0.42,Initial Stage,107,38,53,622,2.09,3,2.17
30.2,77.6,307,558.523956,234.5800615,0.42,Initial Stage,107,38,53,622,2.09,3,3.28
30.2,78.7,307,557.5583169,234.1744931,0.42,Initial Stage,107,38,53,622,2.09,3,3.24
30.2,78.5,307,557.7333833,234.248021,0.42,Initial Stage,107,38,53,622,2.09,3,2.51
30.1,78.5,307,557.7170944,234.2411796,0.42,Initial Stage,107,38,53,622,2.09,3,3.89
30.1,78.9,307,557.3681818,234.0946363,0.42,Initial Stage,107,38,53,622,2.09,3,3.15
30.1,80.4,307,556.067572,233.5483802,0.42,Initial Stage,107,38,53,622,2.09,3,3.02
30.1,78.9,307,557.3681818,234.0946363,0.42,Initial Stage,107,38,53,622,2.09,3,3.22
30,77.6,307,558.4861597,234.5641871,0.42,Initial Stage,107,38,53,622,2.09,3,3.2
30,79.7,307,556.658975,233.7967695,0.42,Initial Stage,107,38,53,622,2.09,3,3.18
30,78.9,307,557.3521736,234.0879129,0.42,Initial Stage,107,38,53,622,2.09,3,3.31
29.9,77.3,307,558.7284838,234.6659632,0.42,Initial Stage,118,42,57,622,2.09,3,3.4
29.8,77,307,558.9691125,234.7670273,0.42,Initial Stage,118,42,57,622,2.09,3,3.54
29.7,77.9,307,558.1638803,234.4288297,0.42,Initial Stage,118,42,57,622,2.09,3,3.33
